Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG + PG (Accelerated Degree),Engineering and Engineering Trades,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Scholarship Available",Bachelor of Applied Science (BASc) - Civil Engineering + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzAw&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),Engineering and Engineering Trades,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Scholarship Available",Bachelor of Applied Science (BASc) - Computer Engineering + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzAx&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),Engineering and Engineering Trades,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Scholarship Available",Bachelor of Applied Science (BASc) - Electrical Engineering + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzAy&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),Engineering and Engineering Trades,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Scholarship Available",Bachelor of Applied Science (BASc) - Manufacturing Engineering + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzAz&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),Engineering and Engineering Trades,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Scholarship Available",Bachelor of Applied Science (BASc) - Mechanical Engineering + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzA0&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),"Arts, Social and Behavioural Science","PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - Anthropology (Faculty of Arts and Social Sciences)+ Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzEw&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),"Arts, Humanities","PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - Art History and Visual Culture (Faculty of Creative and Critical Studies) + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzA1&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),"Arts, Computer Science and Information Technology","PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - Computer Science (Faculty of Arts and Social Sciences) + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzEx&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),Arts,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - Creative Writing (Faculty of Creative and Critical Studies) + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzA2&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),"Arts, Social and Behavioural Science","PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - Cultural Studies (Faculty of Creative and Critical Studies) + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzA3&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),"Arts, Social and Behavioural Science","PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - Economics (Faculty of Arts and Social Sciences) + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzEy&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),Arts,"PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available",Bachelor of Arts (BA) - English (Faculty of Creative and Critical Studies) + Master of Management (MM)- Dual degree,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzA4&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
UG + PG (Accelerated Degree),"Arts, Education","PTE, TOEFL iBT, IELTS, DET, Without GRE, Without GMAT, Without Maths, Scholarship Available","Bachelor of Arts (BA) - Gender, Women and Sexuality Studies (Faculty of Arts and Social Sciences) + Master of Management (MM)- Dual degree",https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjEwNzEz&year=2026,The University of British Columbia (UBC) - Okanagan Campus,54 Month(s),Sep,,,40 in QS World Ranking,,CAD 173
