Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee,State,College URL,College Logo,University Course URL,Campus,Entry Requirements,Remarks,Standardized Test Requirements,Application Deadline,Last Updated Date,PTE Overall,TOEFL iBT Overall,IELTS Overall,IELTS no Band Less Than,DET Score,PTE No Bands Less Than,TOEFL iBT no Bands Less Than,More Info
PG,"Commerce, Business and Administration","PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Without Maths, Application Fee Waiver (upto 100%)",MA in Sustainability and Circular Economy Management (Hamm Campus) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA5MjIx&year=2026,SRH University – Hamm Campus,24 Month(s),"Oct, Apr",,,,"EUR 10,200",No application fee,Germany,http://www.srh-university.de/en/our-campuses/hamm/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/srh-university--hamm-campus-57a86a5c.png,https://www.srh-university.de/en/master/sustainability-and-circular-economy-management/n/,Hamm,Bachelor's degree with minimum 60% from a recognised university and at least 1 year of professional experience is required.,"IELTS/TOEFL/PTE is a mandatory requirement. Important Note: The University might issue an unconditional offer based on PTE, but this document is not accepted by the German High Commission for student visa. For German student visa, IELTS/TOEFL is a mandatory requirement. For all the Students from Nepal and Bangladesh, 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. An additional enrolment fee of € 1,000 is to be paid once at the start of the programme. All concerned applicants will be requested to pay the full first year of tuition fees in advance to receive their ""Letter of Admission"". Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.",No Test Requirement,"Oct : 31 Jul , Apr : 14 Feb",Last Updated on: 18 Sep 2025,59,87,6.5,6,,,,yes
PG,"Commerce, Business and Administration, Physical Sciences, Sciences","TOEFL iBT, IELTS, GRE, GMAT",Master in Business Analytics (MSc) (One Year) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY2OTQ5&year=2026,EBS University,12 Month(s),Aug,,"Major City, No Interview Required",,"EUR 23,850",No application fee,Hesse,http://www.ebs.edu/en,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/ebs-university-3cf25805.png,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-business-analytics,Rheingau,4 years Bachelor's Degree with minimum 60% from a recognised university.,"Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. For all the students from Nepal and Bangladesh 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. GRE/GMAT is a mandatory requirement. Student can give online business admissions test. Student have to pay an enrolment fee of € 3980 along with tuition fee. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.","GRE Score
310
GMAT Score
580",ASAP,Last Updated on: 07 Nov 2025,,95,7,6.5,,,,yes
PG,"Commerce, Business and Administration, Physical Sciences, Sciences","TOEFL iBT, IELTS, GRE, GMAT",Master in Business Analytics (MSc) (Two Year) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY2OTUw&year=2026,EBS University,24 Month(s),Aug,,"Major City, No Interview Required",,"EUR 15,900",No application fee,Hesse,http://www.ebs.edu/en,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/ebs-university-3cf25805.png,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-business-analytics,Rheingau,3 years Bachelor's Degree with minimum 60% from a recognised university.,"Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. For all the students from Nepal and Bangladesh 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. GRE/GMAT is a mandatory requirement. Student can give online business admissions test. Student have to pay an enrolment fees of € 1980 along with tuition fee. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.","GRE Score
310
GMAT Score
580",ASAP,Last Updated on: 07 Nov 2025,,95,7,6.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, GRE, GMAT, Without Maths, Application Fee Waiver (upto 100%)",Master in Finance (MSc) (One Year) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg2NDYy&year=2026,EBS University,12 Month(s),Aug,Jan,"Major City, No Interview Required",,"EUR 27,000",No application fee,Hesse,http://www.ebs.edu/en,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/ebs-university-3cf25805.png,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-finance,Rheingau,4 years Bachelor's Degree with minimum 60% from a recognised university.,"Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. For all the students from Nepal and Bangladesh 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. GRE/GMAT is a mandatory requirement. Student can give online business admissions test. Student have to pay an enrolment fees of € 3980 along with tuition fee. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.","GRE Score
310
GMAT Score
580",ASAP,Last Updated on: 07 Nov 2025,,95,7,6.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, GRE, GMAT, Without Maths, Application Fee Waiver (upto 100%)",Master in Finance (MSc) (Two Years) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTQ1MDIx&year=2026,EBS University,24 Month(s),Aug,Jan,"Major City, No Interview Required",,"EUR 17,900",No application fee,Hesse,http://www.ebs.edu/en,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/ebs-university-3cf25805.png,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-finance,Rheingau,3 years Bachelor's Degree with minimum 60% in any field from a recognised university.,"Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. For all the students from Nepal and Bangladesh 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. GRE/GMAT is a mandatory requirement. Student can give online business admissions test. Student have to pay an enrolment fees of € 1980 along with tuition fee. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.","GRE Score
310
GMAT Score
580",ASAP,Last Updated on: 07 Nov 2025,,95,7,6.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%), Scholarship Available",Master in Management (Grande Ecole Program) - Finance (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTk2NjM1&year=2026,"ICN Business School, Berlin campus",24 Month(s),Sep,,"Scholarship Available, High Job Demand, Major City",,"EUR 14,000",No application fee,Not found,http://www.icn-artem.com/en/students/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/icn-business-school-berlin-campus-faf14558.png,https://www.icn-artem.com/en/programmes/master-in-management/,Berlin,Bachelor's degree with minimum 60% from a recognised university.,"This program consists of 1st year of MIM + 2nd year of the MSc program (with specialization). Specialization ""International Audit and Compliance"" is available only at Nancy, France campus. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.",No Test Requirement,Sep: 12 Jun,Last Updated on: 25 Jun 2025,,76,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%), Scholarship Available",Master in Management (Grande Ecole Program) - Marketing & Business Development (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTk2NjM2&year=2026,"ICN Business School, Berlin campus",24 Month(s),Sep,,"Scholarship Available, High Job Demand, Major City",,"EUR 14,000",No application fee,Not found,http://www.icn-artem.com/en/students/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/icn-business-school-berlin-campus-faf14558.png,https://www.icn-artem.com/en/programmes/master-in-management/,Berlin,Bachelor's degree with minimum 60% from a recognised university.,"This program consists of 1st year of MIM + 2nd year of the MSc program (with specialization). Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.",No Test Requirement,Sep: 12 Jun,Last Updated on: 25 Jun 2025,,76,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%), Scholarship Available",Master in Management (Grande Ecole Program) - Organization Management & Strategy (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTk2NjM3&year=2026,"ICN Business School, Berlin campus",24 Month(s),Sep,,"Scholarship Available, High Job Demand, Major City",,"EUR 14,000",No application fee,Not found,http://www.icn-artem.com/en/students/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/icn-business-school-berlin-campus-faf14558.png,https://www.icn-artem.com/en/programmes/master-in-management/,Berlin,Bachelor's degree with minimum 60% from a recognised university.,"This program consists of 1st year of MIM + 2nd year of the MSc program (with specialization). Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.",No Test Requirement,Sep: 12 Jun,Last Updated on: 25 Jun 2025,,76,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, GRE, GMAT, Without Maths, Application Fee Waiver (upto 100%)",Master in Management (One Year) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTQ1MDIw&year=2026,EBS University,12 Month(s),Aug,Jan,"Major City, No Interview Required",,"EUR 23,850",No application fee,Hesse,http://www.ebs.edu/en,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/ebs-university-3cf25805.png,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-management,Rheingau,4 years Bachelor's Degree with minimum 60% from a recognised university.,"Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. For all the students from Nepal and Bangladesh 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. GRE/GMAT is a mandatory requirement. Student can give online business admissions test. Student have to pay an enrolment fees of € 3980 along with tuition fee. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.","GRE Score
310
GMAT Score
580",ASAP,Last Updated on: 07 Nov 2025,,95,7,6.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, GRE, GMAT",Master in Management (Two Years) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY2OTUy&year=2026,EBS University,24 Month(s),Aug,Jan,"Major City, No Interview Required",,"EUR 15,900",No application fee,Hesse,http://www.ebs.edu/en,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/ebs-university-3cf25805.png,https://www.ebs.edu/en/ebs-business-school/study-programmes/master-in-management,Rheingau,3 years Bachelor's Degree with minimum 60% from a recognised university.,"Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. For all the students from Nepal and Bangladesh 70-75% in their previous studies is a mandatory requirement to avoid visa rejection. GRE/GMAT is a mandatory requirement. Student can give online business admissions test. Student have to pay an enrolment fees of € 1980 along with tuition fee. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting.","GRE Score
310
GMAT Score
580",ASAP,Last Updated on: 07 Nov 2025,,95,7,6.5,,,,yes
