Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
PG,,,MSc Project Management (with Advanced Practice),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NjY2OTU=&year=2026,Teesside University,20 Month(s),Sep,,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 10,000",No application fee
PG,,,MSc Project Management (with Advanced Practice) (January),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTkxNDYx&year=2026,Teesside University,24 Month(s),,Jan,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 10,000",No application fee
PG,,,MSc Psychology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTExODc5&year=2026,Teesside University,12 Month(s),Sep,,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MSc Psychology (January Start),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA5ODU4&year=2026,Teesside University,16 Month(s),,Jan,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MSc Social Research Methods (Criminology),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NjY2OTY=&year=2026,Teesside University,12 Month(s),Sep,,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MSc Social Research Methods (Social Policy),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NjY2OTc=&year=2026,Teesside University,12 Month(s),Sep,,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MSc Sports Physiotherapy Studies,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTQyNjI5&year=2026,Teesside University,24 Month(s),Sep,,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MSc Sustainable Energy and Clean Technology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTU3ODE2&year=2026,Teesside University,12 Month(s),Sep,,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MSc Sustainable Energy and Clean Technology (January Start),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA5NzY1&year=2026,Teesside University,16 Month(s),,Jan,"English Proficiency Exam Waiver, Affordable University, Uni has own English Test","94 in US News Ranking, 88 in Webometrics Ranking of United Kingdom National","GBP 17,000",No application fee
PG,,,MA Creative Media Practice,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE5Njg0&year=2026,University of the West of Scotland,12 Month(s),Sep,Jan,"Faster Offer TAT, Scholarship Available, Uni has own English Test","60 in US News Ranking, 90 in Webometrics Ranking of United Kingdom National","GBP 15,500",No application fee
